Comment,Designator,Footprint,LCSC
1k,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
0.1uF,C4,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
1k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
MAX4999,U4,MAX4999,
0.1uF,C5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
100,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
MCP23017_SO,U3,SOIC-28W_7.5x17.9mm_P1.27mm,
100,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
