Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,172.31,-86.34,90.0,top
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,170.71,-97.3325,-90.0,top
R1,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,136.144,-58.42,180.0,top
R2,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.572,-58.42,0.0,top
R3,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.524,-134.158,180.0,top
R4,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.524,-125.222,180.0,top
R5,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.524,-116.337,180.0,top
R6,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.524,-107.442,180.0,top
R7,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.524,-98.552,180.0,top
R8,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.524,-89.662,180.0,top
R9,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.524,-80.772,180.0,top
R10,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.524,-71.882,180.0,top
U3,MCP23017_SO,SOIC-28W_7.5x17.9mm_P1.27mm,152.32,-79.15,180.0,top
U4,MAX4999,MAX4999,170.18,-91.44,-90.0,top
